article,year,country,experiment_type,n_farms,n_plots,size_plots,organic,weedfree_control,weedy_control,cropfree_control
myers2005,2001,usa,exp_field,5,NA,NA,FALSE,TRUE,TRUE,
myers2005,2002,usa,exp_field,5,NA,NA,FALSE,TRUE,TRUE,
vangessel1995,1991,usa,exp_field,1,10,37.5,FALSE,TRUE,TRUE,
vangessel1995,1992,usa,exp_field,,13,37.5,FALSE,TRUE,TRUE,
silva2011,2006,brazil,exp_field,1,40,,FALSE,,TRUE,
tharp1999,1996,usa,exp_field,1,,32.5,FALSE,TRUE,TRUE,
tharp1999,1997,usa,exp_field,,,37.6,FALSE,TRUE,TRUE,
gower2003,1998,usa,exp_field,35,,30,FALSE,TRUE,TRUE,
gower2003,1999,usa,exp_field,35,,30,FALSE,TRUE,TRUE,
solie1991,1989,usa,exp_field,10,NA,NA,FALSE,TRUE,TRUE,
solie1991,1990,usa,exp_field,6,NA,NA,FALSE,TRUE,TRUE,
cox2006,2003,usa,exp_field,1,,36,FALSE,TRUE,TRUE,
rueda2011,2009,denmark,exp_field,1,96,42,FALSE,,TRUE,
rueda2011,2009,germany,exp_field,1,120,108,FALSE,,TRUE,
monks1996,1992,usa,exp_field,1,,12.2,FALSE,,TRUE,
zhang1996,,canada,exp_field,1,90,90,FALSE,FALSE,TRUE,
nurse2007,,usa,exp_field,5,,21,FALSE,TRUE,TRUE,
kolb2012,2009,usa,exp_field,1,,,TRUE,TRUE,TRUE,TRUE
kolb2012,2010,usa,exp_field,1,,,TRUE,TRUE,TRUE,TRUE
gholamhoseini2013,,iran,exp_field,1,,,FALSE,TRUE,TRUE,FALSE
iffat2010,2005,pakistan,exp_field,1,,3.5,FALSE,TRUE,FALSE,FALSE
clay1998,,usa,exp_field,2,,162,,TRUE,,FALSE
scott1995,,usa,exp_field,1,,110,FALSE,FALSE,TRUE,FALSE
epperlein2014,2012,germany,greenhouse,1,,24,,TRUE,TRUE,FALSE
garcia2007,,spain,farmer_field,1,,77,FALSE,FALSE,TRUE,FALSE
iqbal1999,1993,uk,greenhouse,1,45,0.15,FALSE,TRUE,TRUE,FALSE
ponce1995,,spain,farmer_field,1,12,20.4,FALSE,FALSE,TRUE,FALSE
khaliq2013,,pakistan,exp_field,1,,16.2,FALSE,FALSE,TRUE,FALSE
bijanzadeh2010,,iran,exp_field,1,,24,FALSE,TRUE,TRUE,FALSE
hamouz2013,2011,bohemia,exp_field,1,512,60,FALSE,FALSE,FALSE,FALSE
fahad2015,,pakistan,exp_field,1,,1,FALSE,TRUE,TRUE,TRUE
lima2010,2004,brazil,exp_field,1,,36,FALSE,TRUE,TRUE,FALSE
malik2009,,pakistan,exp_field,1,18,95,FALSE,FALSE,TRUE,FALSE
knevzevic2008effects,,croatia,exp_field,1,12,31.5,FALSE,FALSE,TRUE,FALSE
sharma2011seed,,india,exp_field,1,,,FALSE,FALSE,TRUE,FALSE
weber2013influence,,poland,exp_field,1,,12,FALSE,FALSE,TRUE,FALSE
delchev2015durum,,bulgaria,exp_field,NA,,,FALSE,FALSE,TRUE,FALSE
gaba2016herbicides,,france,farmer_field,30,1500,4,FALSE,FALSE,FALSE,FALSE
khan2013,2008,pakistan,exp_field,1,,7.5,FALSE,FALSE,TRUE,FALSE
rosa2015,,poland,exp_field,1,,16,FALSE,FALSE,FALSE,FALSE
begna2001,,canada,exp_field,2,,,FALSE,TRUE,FALSE,FALSE
black1996,,australia,exp_field,5,,,FALSE,TRUE,FALSE,FALSE
freeman2004,,uk,exp_field,1,62,24,FALSE,TRUE,TRUE,FALSE
unay2006,,turkey,exp_field,1,,7.2,FALSE,TRUE,FALSE,FALSE
young1994,,usa,exp_field,1,12,552,FALSE,FALSE,FALSE,FALSE
cox2005weed,,usa,exp_field,1,,36,FALSE,TRUE,TRUE,FALSE
mueller2013winter,,usa,farmer_field,14,,,FALSE,NA,NA,NA
