article,year,n_species,species,type,origin,sowing_density,metric
myers2005,,1,SORVU,plants,planted,,weed_density
myers2005,,1,SORVU,plants,planted,,weed_height
myers2005,,1,SORVU,plants,planted,,weed_ag_biomass
vangessel1995,1991,NA,NA,plants,,,weed_density
vangessel1995,1992,NA,NA,plants,,,weed_density
silva2011,2006,18,NA,plants,,,weed_diversity
silva2011,2006,18,NA,plants,,,weed_ag_biomass
silva2011,2006,18,ALRTE,plants,,,NA
silva2011,2006,18,ACNHI,plants,,,NA
silva2011,2006,18,CCHEC,plants,,,NA
silva2011,2006,18,EPHHI,plants,,,NA
silva2011,2006,18,COMBE,plants,,,NA
silva2011,2006,18,CUMAN,plants,,,NA
silva2011,2006,18,DTTAE,plants,,,NA
silva2011,2006,18,DEMVI,plants,,,NA
silva2011,2006,18,DIGSA,plants,,,NA
silva2011,2006,18,IPOAS,plants,,,NA
silva2011,2006,18,IPOXX,plants,,,NA
silva2011,2006,18,IPOPE,plants,,,NA
silva2011,2006,18,PANMA,plants,,,NA
silva2011,2006,18,PYLAM,plants,,,NA
silva2011,2006,18,CASOB,plants,,,NA
silva2011,2006,18,SPKAN,plants,,,NA
silva2011,2006,18,TURUL,plants,,,NA
silva2011,2006,18,WALAM,plants,,,NA
tharp1999,1996,4,SETFA,plants,,,weed_percent_control
tharp1999,1996,4,CHEAL,plants,,,weed_percent_control
tharp1999,1996,4,AMARE,plants,,,weed_percent_control
tharp1999,1996,4,ABUTH,plants,,,weed_percent_control
tharp1999,1997,4,SETFA,plants,,,weed_percent_control
tharp1999,1997,4,CHEAL,plants,,,weed_percent_control
tharp1999,1997,4,AMARE,plants,,,weed_percent_control
tharp1999,1997,4,ABUTH,plants,,,weed_percent_control
solie1991,1989,1,BROSE,plants,,,NA
solie1991,1990,1,BROSE,plants,,,NA
cox2006,,5,CHEAL,plants,,,weed_density
cox2006,,5,CHEAL,plants,,,weed_height
cox2006,,5,SETVI,plants,,,weed_density
cox2006,,5,SETVI,plants,,,weed_height
cox2006,,5,AMBEL,plants,,,weed_density
cox2006,,5,AMBEL,plants,,,weed_height
cox2006,,5,CYPFE,plants,,,weed_density
cox2006,,5,CYPFE,plants,,,weed_height
