article,year,n_species,species,gmo,gmo_type,density,fertilizer,soil_work,weed_control,treatment_timing,herbicide,application_rate,n_treatments,metric,adjustment
myers2005,2001,1,ZEAMX,TRUE,glyph_resistant,69000,TRUE,ploughing,chemical,POST,glyphosate,,1,crop_yield,15.5_moisture
myers2005,2002,1,ZEAMX,TRUE,glyph_resistant,69000,TRUE,ploughing,chemical,POST,glyphosate,,1,crop_yield,15.5_moisture
vangessel1995,1991,1,ZEAMX,FALSE,NA,86100,TRUE,NA,manual,POST,no_herbicide,,1,crop_yield,15.5_moisture
vangessel1995,1992,1,ZEAMX,FALSE,NA,86100,TRUE,NA,manual,POST,no_herbicide,,1,crop_yield,15.5_moisture
silva2011,2006,1,ZEAMX,FALSE,NA,50000,TRUE,hoeing,mechanic,NA,no_herbicide,,2,crop_leaf_area,NA
silva2011,2006,1,ZEAMX,FALSE,NA,50000,TRUE,hoeing,mechanic,NA,no_herbicide,,2,crop_ag_biomass,NA
silva2011,2006,1,ZEAMX,FALSE,NA,50000,TRUE,hoeing,mechanic,NA,no_herbicide,,2,crop_ug_biomass,NA
silva2011,2006,1,ZEAMX,FALSE,NA,50000,TRUE,hoeing,mechanic,NA,no_herbicide,,2,green_corn_yield,NA
silva2011,2006,1,ZEAMX,FALSE,NA,50000,TRUE,hoeing,mechanic,NA,no_herbicide,,2,ripe_corn_yield,NA
tharp1999,1996,1,ZEAMX,TRUE,glyph_resistant,54340,TRUE,ploughing,chemical,EPOST,glyphosate,,,crop_yield,15.5_moisture
tharp1999,1996,1,ZEAMX,TRUE,gluf_resistant,61750,TRUE,ploughing,chemical,EPOST,glufosinate,,,crop_yield,15.5_moisture
tharp1999,1996,1,ZEAMX,TRUE,glyph_resistant,54340,TRUE,ploughing,chemical,LPOST,glyphosate,,,crop_yield,15.5_moisture
tharp1999,1996,1,ZEAMX,TRUE,gluf_resistant,61750,TRUE,ploughing,chemical,LPOST,glufosinate,,,crop_yield,15.5_moisture
tharp1999,1997,1,ZEAMX,TRUE,glyph_resistant,50635,TRUE,ploughing,chemical,EPOST,glyphosate,,,crop_yield,15.5_moisture
tharp1999,1997,1,ZEAMX,TRUE,gluf_resistant,58045,TRUE,ploughing,chemical,EPOST,glufosinate,,,crop_yield,15.5_moisture
tharp1999,1997,1,ZEAMX,TRUE,glyph_resistant,50635,TRUE,ploughing,chemical,LPOST,glyphosate,,,crop_yield,15.5_moisture
tharp1999,1997,1,ZEAMX,TRUE,gluf_resistant,58045,TRUE,ploughing,chemical,LPOST,glufosinate,,,crop_yield,15.5_moisture
gower2003,1998,1,ZEAMX,TRUE,glyph_resistant,73197,NA,ploughing,chemical,POST,glyphosate,,1,crop_yield,15.5_moisture
