article,year,country,experiment_type,farmer,n_farms,n_plots,size_plots,weedfree_control,weedy_control
myers2005,2001,usa,field,FALSE,5,NA,NA,TRUE,TRUE
myers2005,2002,usa,field,FALSE,5,NA,NA,TRUE,TRUE
vangessel1995,1991,usa,field,FALSE,1,10,37.5,TRUE,TRUE
vangessel1995,1992,usa,field,FALSE,,13,37.5,TRUE,TRUE
silva2011,2006,brazil,field,FALSE,1,40,,,TRUE
tharp1999,1996,usa,field,FALSE,1,,32.5,TRUE,TRUE
tharp1999,1997,usa,field,FALSE,,,37.6,TRUE,TRUE
gower2003,1998,usa,field,FALSE,35,,30,TRUE,TRUE
gower2003,1999,usa,field,FALSE,35,,30,TRUE,TRUE
solie1991,1989,usa,field,FALSE,10,NA,NA,TRUE,TRUE
solie1991,1990,usa,field,FALSE,6,NA,NA,TRUE,TRUE
cox2006,2003,usa,field,FALSE,1,,36,TRUE,TRUE
rueda2011,2009,denmark,field,FALSE,1,96,42,,TRUE
rueda2011,2009,germany,field,FALSE,1,120,108,,TRUE
monks1996,1992,usa,field,FALSE,1,,12.2,,TRUE
zhang1996,,canada,field,FALSE,1,90,90,FALSE,TRUE
nurse2007,,usa,field,FALSE,5,,21,TRUE,TRUE
