article,year,n_species,species,type,origin,sowing_density,metric
myers2005,,1,SORVU,plants,planted,,density
myers2005,,1,SORVU,plants,planted,,height
myers2005,,1,SORVU,plants,planted,,aboveground_biomass
vangessel1995,1991,NA,NA,plants,,,density
vangessel1995,1992,NA,NA,plants,,,density
silva2011,2006,18,NA,plants,,,diversity
silva2011,2006,18,NA,plants,,,aboveground_biomass
silva2011,2006,18,ALRTE,plants,,,NA
silva2011,2006,18,ACNHI,plants,,,NA
silva2011,2006,18,CCHEC,plants,,,NA
silva2011,2006,18,EPHHI,plants,,,NA
silva2011,2006,18,COMBE,plants,,,NA
silva2011,2006,18,CUMAN,plants,,,NA
silva2011,2006,18,DTTAE,plants,,,NA
silva2011,2006,18,DEMVI,plants,,,NA
silva2011,2006,18,DIGSA,plants,,,NA
silva2011,2006,18,IPOAS,plants,,,NA
silva2011,2006,18,IPOXX,plants,,,NA
silva2011,2006,18,IPOPE,plants,,,NA
silva2011,2006,18,PANMA,plants,,,NA
silva2011,2006,18,PYLAM,plants,,,NA
silva2011,2006,18,CASOB,plants,,,NA
silva2011,2006,18,SPKAN,plants,,,NA
silva2011,2006,18,TURUL,plants,,,NA
silva2011,2006,18,WALAM,plants,,,NA
tharp1999,1996,4,SETFA,plants,,,percent_control
tharp1999,1996,4,CHEAL,plants,,,percent_control
tharp1999,1996,4,AMARE,plants,,,percent_control
tharp1999,1996,4,ABUTH,plants,,,percent_control
tharp1999,1997,4,SETFA,plants,,,percent_control
tharp1999,1997,4,CHEAL,plants,,,percent_control
tharp1999,1997,4,AMARE,plants,,,percent_control
tharp1999,1997,4,ABUTH,plants,,,percent_control
solie1991,1989,1,BROSE,plants,,,NA
solie1991,1990,1,BROSE,plants,,,NA
cox2006,,5,CHEAL,plants,,,density
cox2006,,5,CHEAL,plants,,,height
cox2006,,5,SETVI,plants,,,density
cox2006,,5,SETVI,plants,,,height
cox2006,,5,AMBEL,plants,,,density
cox2006,,5,AMBEL,plants,,,height
cox2006,,5,CYPFE,plants,,,density
cox2006,,5,CYPFE,plants,,,height
cox2006,,5,SINAR,plants,,,density
cox2006,,5,SINAR,plants,,,height
rueda2011,2008,NA,,plants,,,percent_control
monks1996,1992,3,PANTE,plants,,,percent_control
monks1996,1992,3,CASOB,plants,,,percent_control
monks1996,1992,3,IPOSS,plants,,,percent_control
monks1996,1993,3,PANTE,plants,,,percent_control
monks1996,1993,3,CASOB,plants,,,percent_control
monks1996,1993,3,IPOSS,plants,,,percent_control
zhang1996,1992,NA,NA,plants,,,NA
nurse2007,,3,CHEAL,plants,,,aboveground_biomass
nurse2007,,3,SETVI,plants,,,aboveground_biomass
nurse2007,,3,AMBEL,plants,,,aboveground_biomass
kolb2012,,NA,NA,plants,,,density
gholamhoseini2013,,1,AMARE,plants,planted,8,density
iffat2010,2005,6,RUMDE,plants,planted,,density
iffat2010,2005,6,COPDI,plants,planted,,density
iffat2010,2005,6,MEDPO,plants,planted,,density
iffat2010,2005,6,CHEAL,plants,planted,,density
iffat2010,2005,6,POAAN,plants,planted,,density
iffat2010,2005,6,PHAMI,plants,planted,,density
scott1995,,3,ERYRE,plants,natural,,density
scott1995,,3,OLEOLA,plants,natural,,density
scott1995,,3,LAMAM,plants,natural,,density
epperlein2014,,1,LEGSV,plants,planted,,NA
garcia2007,,22,POLAV,plants,natural,,
garcia2007,,22,CONAR,plants,natural,,
garcia2007,,22,GALAP,plants,natural,,
garcia2007,,22,ANYCL,plants,natural,,
garcia2007,,22,ANGAR,plants,natural,,
garcia2007,,22,VICVI,plants,natural,,
garcia2007,,22,RUMOB,plants,natural,,
garcia2007,,22,CERGL,plants,natural,,
garcia2007,,22,VERHE,plants,natural,,
garcia2007,,22,CIRAR,plants,natural,,
garcia2007,,22,VAAPY,plants,natural,,
garcia2007,,22,MALSY,plants,natural,,
garcia2007,,22,LACSE,plants,natural,,
garcia2007,,22,SLYMA,plants,natural,,
garcia2007,,22,PHAMI,plants,natural,,
garcia2007,,22,PHACA,plants,natural,,
garcia2007,,22,LINLA,plants,natural,,
garcia2007,,22,SILVU,plants,natural,,
garcia2007,,22,ANTAR,plants,natural,,
garcia2007,,22,AVEST,plants,natural,,
garcia2007,,22,CICIN,plants,natural,,
garcia2007,,22,SONAS,plants,natural,,
iqbal1999,1993,3,PHAMI,plants,planted,0,weed_height
iqbal1999,1993,3,PHAMI,plants,planted,75,weed_n_uptake
iqbal1999,1993,3,PHAMI,plants,planted,150,
iqbal1999,1993,3,PHAMI,plants,planted,300,
iqbal1999,1993,3,PHAMI,plants,planted,600,
iqbal1999,1993,3,CHEAL,plants,planted,0,
iqbal1999,1993,3,CHEAL,plants,planted,75,
iqbal1999,1993,3,CHEAL,plants,planted,150,
iqbal1999,1993,3,CHEAL,plants,planted,300,
iqbal1999,1993,3,CHEAL,plants,planted,600,
iqbal1999,1993,3,SINAR,plants,planted,0,
iqbal1999,1993,3,SINAR,plants,planted,75,
iqbal1999,1993,3,SINAR,plants,planted,150,
iqbal1999,1993,3,SINAR,plants,planted,300,
iqbal1999,1993,3,SINAR,plants,planted,600,
